Index,Tag,Atag,Btag,pIC50_MMP12,Smiles,A_SortMax,B_SortMax,Final QC Purity,Generation-No
657,A14B07,A14,B07,7.3,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(SC)cc2)C(=O)O,8,1,98,
658,A14B08,A14,B08,5.2,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)C(F)(F)F)C(=O)O,8,33,96,
659,A14B09,A14,B09,Inactive,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2N(=O)=O)C(=O)O,8,23,>98,
660,A14B10,A14,B10,5.8,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(c2)N(=O)=O)C(=O)O,8,22,98,
661,A14B11,A14,B11,6.4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(NC(=O)C)c2)C(=O)O,8,17,>98,Gen-3
662,A14B12,A14,B12,6.7,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(F)c2)C(=O)O,8,18,97,
663,A14B13,A14,B13,5.2,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2OC)C(=O)O,8,44,92,
664,A14B14,A14,B14,4.9,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Cl)C(=O)O,8,26,97,
665,A14B15,A14,B15,6.2,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2F)C(=O)O,8,20,96,
666,A14B16,A14,B16,4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2OCC)C(=O)O,8,29,96,
667,A14B17,A14,B17,6.8,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CO)cc2)C(=O)O,8,14,95,
668,A14B18,A14,B18,7.6,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCC(=O)OCC)C(=O)O,8,3,97,Gen-2
669,A14B19,A14,B19,7.4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CC)cc2)C(=O)O,8,4,97,
670,A14B20,A14,B20,7.4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OCc3ccccc3)c(F)c2)C(=O)O,8,6,>98,
671,A14B21,A14,B21,4.9,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Oc3ccccc3)C(=O)O,8,34,>98,
672,A14B22,A14,B22,Inactive,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(C)cccc2C)C(=O)O,8,42,98,
673,A14B23,A14,B23,6.3,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc3OCOc3c2)C(=O)O,8,15,>98,Gen-8
674,A14B24,A14,B24,5,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OC)cc2OC)C(=O)O,8,38,98,
675,A14B25,A14,B25,7.5,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OC(F)(F)F)cc2)C(=O)O,8,2,>98,Gen-9
676,A14B26,A14,B26,Not Made,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(F)c(F)c(F)c(F)c2F)C(=O)O,8,50,,
677,A14B27,A14,B27,7.2,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)C)C(=O)O,8,8,98,
678,A14B28,A14,B28,4.7,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(Cl)c2Cl)C(=O)O,8,45,>98,
679,A14B29,A14,B29,5.4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(/C=C/C(=O)O)c2)C(=O)O,8,35,>98,
680,A14B30,A14,B30,Not Made,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(/C=C/N(=O)=O)cc2)C(=O)O,8,10,84,
681,A14B31,A14,B31,5.9,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(C)c(OC)c(C)c2)C(=O)O,8,21,95,
682,A14B32,A14,B32,4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3cccnc23)C(=O)O,8,48,96,
683,A14B33,A14,B33,6.9,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(CO)c2)C(=O)O,8,13,96,
684,A14B34,A14,B34,Inactive,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(ccc2OC)C(C)C)C(=O)O,8,40,93,
685,A14B35,A14,B35,5.3,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4sc23)C(=O)O,8,27,>98,
686,A14B36,A14,B36,4.1,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OC)c(OC)c2OC)C(=O)O,8,47,>98,Gen-2
687,A14B37,A14,B37,4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(Cl)ccc2OC)C(=O)O,8,41,93,
688,A14B38,A14,B38,5.6,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(C#N)c2)C(=O)O,8,24,>98,
689,A14B39,A14,B39,Inactive,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2C(=O)C)C(=O)O,8,43,>98,
690,A14B40,A14,B40,5.4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CN)cc2)C(=O)O,8,25,97,
691,A14B41,A14,B41,7,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)OC)C(=O)O,8,11,95,Gen-6
692,A14B42,A14,B42,4.7,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(OCc3ccccc3)c2)C(=O)O,8,36,96,
693,A14B43,A14,B43,6.4,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(F)c(F)c(F)c2)C(=O)O,8,19,92,
694,A14B44,A14,B44,5.2,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(F)cc2C)C(=O)O,8,28,94,Gen-5
695,A14B45,A14,B45,Not Made,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(F)c(C=O)c2)C(=O)O,8,30,0,
696,A14B46,A14,B46,5.6,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(OC)c2F)C(=O)O,8,39,96,
697,A14B47,A14,B47,4.9,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)C(=O)OCC)C(=O)O,8,31,92,
698,A14B48,A14,B48,7.5,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(F)c2)C(=O)O,8,7,95,
699,A14B49,A14,B49,4.1,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(F)cc(F)c2OC)C(=O)O,8,46,>98,Gen-8
700,A14B50,A14,B50,Not Made,CCOC(=O)CC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(F)ccc(C)c2Cl)C(=O)O,8,49,,Gen-1
701,A15B01,A15,B01,6.2,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccccc2,20,12,98,Gen-6
702,A15B02,A15,B02,6.9,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccc(Br)cc2,20,5,>98,
703,A15B03,A15,B03,5.2,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc(c2)N(=O)=O,20,16,97,
704,A15B04,A15,B04,Not Made,Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,9,0,
705,A15B05,A15,B05,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4oc23,20,32,0,
706,A15B06,A15,B06,Not Assayed,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc3Sc4ccccc4Sc23,20,37,96,Gen-7
707,A15B07,A15,B07,Not Made,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,1,0,
708,A15B08,A15,B08,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc(c2)C(F)(F)F,20,33,14,
709,A15B09,A15,B09,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccccc2N(=O)=O,20,23,25,
710,A15B10,A15,B10,5.4,Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,22,>98,
711,A15B11,A15,B11,Not Made,CC(=O)Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,17,0,
712,A15B12,A15,B12,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc(F)c2,20,18,0,
713,A15B13,A15,B13,5,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,44,94,
714,A15B14,A15,B14,5.1,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccccc2Cl,20,26,97,
715,A15B15,A15,B15,5.9,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccccc2F,20,20,>98,
716,A15B16,A15,B16,4.6,CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,29,>98,
717,A15B17,A15,B17,6.9,OCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,14,95,
718,A15B18,A15,B18,7.3,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,3,96,
719,A15B19,A15,B19,Not Made,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,4,0,
720,A15B20,A15,B20,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccc(OCc3ccccc3)c(F)c2,20,6,0,
721,A15B21,A15,B21,5.5,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccccc2Oc3ccccc3,20,34,>98,
722,A15B22,A15,B22,Not Made,Cc1cccc(C)c1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,42,66,
723,A15B23,A15,B23,6.4,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccc3OCOc3c2,20,15,>98,
724,A15B24,A15,B24,5,COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,38,>98,
725,A15B25,A15,B25,Not Assayed,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccc(OC(F)(F)F)cc2,20,2,98,
726,A15B26,A15,B26,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2c(F)c(F)c(F)c(F)c2F,20,50,,
727,A15B27,A15,B27,Not Assayed,CC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,8,>98,
728,A15B28,A15,B28,Not Assayed,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc(Cl)c2Cl,20,45,>98,
729,A15B29,A15,B29,Not Made,OC(=O)/C=C/c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,35,0,
730,A15B30,A15,B30,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccc(/C=C/N(=O)=O)cc2,20,10,,
731,A15B31,A15,B31,5.5,COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,21,>98,
732,A15B32,A15,B32,4.8,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc3cccnc23,20,48,97,
733,A15B33,A15,B33,Not Made,OCc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,13,89,
734,A15B34,A15,B34,4.4,COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O)C(C)C,20,40,>98,
735,A15B35,A15,B35,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4sc23,20,27,0,
736,A15B36,A15,B36,Not Made,COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,47,81,
737,A15B37,A15,B37,Not Made,COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,41,0,
738,A15B38,A15,B38,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc(C#N)c2,20,24,0,
739,A15B39,A15,B39,Not Assayed,CC(=O)c1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,43,95,
740,A15B40,A15,B40,Not Made,NCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,25,,
741,A15B41,A15,B41,6.7,COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,11,98,
742,A15B42,A15,B42,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cccc(OCc3ccccc3)c2,20,36,0,
743,A15B43,A15,B43,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2cc(F)c(F)c(F)c2,20,19,,
744,A15B44,A15,B44,Not Made,Cc1cc(F)ccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,28,,
745,A15B45,A15,B45,Not Made,OC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NS(=O)(=O)c1ccc(cc1)c2ccc(F)c(C=O)c2,20,30,,
746,A15B46,A15,B46,4.6,COc1cccc(c1F)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,39,>98,
747,A15B47,A15,B47,5.8,CCOC(=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,31,94,
748,A15B48,A15,B48,Not Made,Cc1ccc(cc1F)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,7,57,
749,A15B49,A15,B49,4.3,COc1c(F)cc(F)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,46,>98,
750,A15B50,A15,B50,4.1,Cc1ccc(F)c(c1Cl)c2ccc(cc2)S(=O)(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,20,49,>98,
751,A16B01,A16,B01,5.4,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2)C(=O)O,21,12,94,
752,A16B02,A16,B02,6.3,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(Br)cc2)C(=O)O,21,5,>98,
753,A16B03,A16,B03,3.9,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)N(=O)=O)C(=O)O,21,16,97,
754,A16B04,A16,B04,6.1,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)cc2)C(=O)O,21,9,>98,
755,A16B05,A16,B05,3.9,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4oc23)C(=O)O,21,32,>98,
756,A16B06,A16,B06,Not Made,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3Sc4ccccc4Sc23)C(=O)O,21,37,89,
757,A16B07,A16,B07,6.8,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,1,>98,
758,A16B08,A16,B08,Inactive,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)C(F)(F)F)C(=O)O,21,33,96,
759,A16B09,A16,B09,Inactive,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2N(=O)=O)C(=O)O,21,23,>98,
760,A16B10,A16,B10,4.5,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(c2)N(=O)=O)C(=O)O,21,22,>98,
761,A16B11,A16,B11,5.4,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(NC(=O)C)c2)C(=O)O,21,17,>98,
762,A16B12,A16,B12,5.2,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(F)c2)C(=O)O,21,18,97,
763,A16B13,A16,B13,4.1,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,44,94,
764,A16B14,A16,B14,3.8,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Cl)C(=O)O,21,26,>98,
765,A16B15,A16,B15,4.9,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2F)C(=O)O,21,20,>98,
766,A16B16,A16,B16,4,CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,29,97,
767,A16B17,A16,B17,5.8,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CO)cc2)C(=O)O,21,14,>98,
768,A16B18,A16,B18,7.3,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,3,>98,
769,A16B19,A16,B19,6.7,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,4,>98,
770,A16B20,A16,B20,6.6,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OCc3ccccc3)c(F)c2)C(=O)O,21,6,>98,
771,A16B21,A16,B21,Inactive,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Oc3ccccc3)C(=O)O,21,34,>98,
772,A16B22,A16,B22,3.9,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2c(C)cccc2C)C(=O)O,21,42,>98,
773,A16B23,A16,B23,5.4,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc3OCOc3c2)C(=O)O,21,15,>98,
774,A16B24,A16,B24,4,COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,38,>98,
775,A16B25,A16,B25,6.7,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OC(F)(F)F)cc2)C(=O)O,21,2,>98,
776,A16B26,A16,B26,Inactive,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2c(F)c(F)c(F)c(F)c2F)C(=O)O,21,50,>98,
777,A16B27,A16,B27,6,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)C)C(=O)O,21,8,>98,Gen-3
778,A16B28,A16,B28,3.8,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(Cl)c2Cl)C(=O)O,21,45,91,
779,A16B29,A16,B29,Not Made,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(/C=C/C(=O)O)c2)C(=O)O,21,35,89,
780,A16B30,A16,B30,Not Assayed,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(/C=C/N(=O)=O)cc2)C(=O)O,21,10,98,
781,A16B31,A16,B31,4.5,COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,21,>98,
782,A16B32,A16,B32,3.8,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3cccnc23)C(=O)O,21,48,96,
783,A16B33,A16,B33,5.9,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(CO)c2)C(=O)O,21,13,91,
784,A16B34,A16,B34,Inactive,COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)C(C)C,21,40,>98,
785,A16B35,A16,B35,4.8,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4sc23)C(=O)O,21,27,98,
786,A16B36,A16,B36,Inactive,COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,47,>98,
787,A16B37,A16,B37,Inactive,COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,41,>98,
788,A16B38,A16,B38,4,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(C#N)c2)C(=O)O,21,24,98,
789,A16B39,A16,B39,Inactive,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2C(=O)C)C(=O)O,21,43,91,
790,A16B40,A16,B40,4.5,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CN)cc2)C(=O)O,21,25,91,
791,A16B41,A16,B41,6,COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,11,>98,
792,A16B42,A16,B42,4.3,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(OCc3ccccc3)c2)C(=O)O,21,36,>98,
793,A16B43,A16,B43,5.1,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(F)c(F)c(F)c2)C(=O)O,21,19,96,
794,A16B44,A16,B44,4.2,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(F)cc2C)C(=O)O,21,28,>98,
795,A16B45,A16,B45,Not Made,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(F)c(C=O)c2)C(=O)O,21,30,87,
796,A16B46,A16,B46,Inactive,COc1cccc(c1F)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,39,>98,
797,A16B47,A16,B47,Inactive,CCOC(=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,31,>98,
798,A16B48,A16,B48,6,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(F)c2)C(=O)O,21,7,>98,
799,A16B49,A16,B49,Inactive,COc1c(F)cc(F)cc1c2ccc(cc2)S(=O)(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,21,46,98,
800,A16B50,A16,B50,Not Made,C[C@@H](OC(C)(C)C)[C@H](NS(=O)(=O)c1ccc(cc1)c2c(F)ccc(C)c2Cl)C(=O)O,21,49,77,
801,A17B01,A17,B01,6.2,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3,22,12,94,
802,A17B02,A17,B02,7,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3ccc(Br)cc3,22,5,>98,
803,A17B03,A17,B03,5.4,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)N(=O)=O,22,16,>98,
804,A17B04,A17,B04,6.5,Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCCc3ccncc3)C(=O)O,22,9,>98,
805,A17B05,A17,B05,5,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5oc34,22,32,>98,
806,A17B06,A17,B06,5.3,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3cccc4Sc5ccccc5Sc34,22,37,>98,
807,A17B07,A17,B07,7,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCCc3ccncc3)C(=O)O,22,1,97,
808,A17B08,A17,B08,5.1,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)C(F)(F)F,22,33,93,
809,A17B09,A17,B09,4.5,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3N(=O)=O,22,23,92,
810,A17B10,A17,B10,5.2,Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCCc3ccncc3)C(=O)O,22,22,96,
811,A17B11,A17,B11,5.8,CC(=O)Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCCc3ccncc3)C(=O)O,22,17,91,
812,A17B12,A17,B12,6.5,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3cccc(F)c3,22,18,94,
813,A17B13,A17,B13,4.4,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCCc3ccncc3)C(=O)O,22,44,>98,
814,A17B14,A17,B14,4.4,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Cl,22,26,96,
815,A17B15,A17,B15,6,OC(=O)[C@H](CSCCc1ccncc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3F,22,20,90,
